38 37 37 37 37 36 36 35 35 36 36 35 35 35 35 36 36 35 35 35 35 35 36 37 38 38 39 39 42 44 44 48 46 46 49 49 50 50 49 50 51 52 53 53 54 53 53 53 53 52 53 53 52 53 53 52 52 51 52 52 52 51 50 50 50 50 50 51 49 48 47 47 47 48 48 47 47 46 46 46 46 46 45 45 45 45 45 43 44 43 43 42 41 42 41 41 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 41 41 43 44 44 45 50 52 52 53 52 54 56 55 56 56 57 58 57 58 58 58 59 58 59 59 60 60 59 59 60 61 61 61 61 61 62 62 62 62 62 61 61 61 61 60 60 60 60 60 60 60 60 61 59 59 59 59 59 59 59 59 59 58 58 57 57 57 57 55 55 54 54 53 53 53 52 51 51 51 51 50 49 47 47 48 48 47 48 47 47 46 47 47 47 47 49 49 50 51 52 53 54 53 53 52 52 52 52 52 52 53 54 54 55 56 56 56 57 60 59 60 62 62 64 66 68 68 67 68 69 69 69 70 71 71 72 72 72 73 73 73 74 74 75 75 74 74 74 75 75 76 74 74 75 73 72 71 71 69 67 68 67 65 65 63 63 61 59 59 56 57 55 54 52 51 51 50 48 49 48 46 46 45 44 42 42 41 39 39 38 37 36 36 35 34 34 33 33 32 31 30 29 28 28 28 27 27 27 26 25 24 24 24 21 21 22 21 21 20 20 20 19 18 18 19 19 20 21 21 25 25 28 30 29 31 34 36 37 38 41 39 40 42 40 40 43 42 42 43 42 43 42 44 44 46 48 48 49 52 51 56 59 60 60 59 60 64 63 64 65 64 64 64 65 68 67 67 68 68 69 70 71 70 69 69 69 69 69 69 71 70 70 71 70 70 69 69 69 69 68 67 67 67 67 67 67 67 67 67 67 66 65 65 65 65 65 64 64 64 64 62 61 61 59 59 59 58 56 57 56 55 55 54 52 52 52 51 50 50 49 49 49 46 46 46 45 44 43 43 43 42 42 42 41 40 40 40 40 39 39 39 39 38 38 
38 38 37 37 37 36 37 36 36 36 36 35 35 35 35 35 37 36 36 36 36 36 36 38 37 38 39 40 41 44 45 45 45 47 47 49 49 50 49 50 52 52 52 52 53 53 53 52 53 52 52 52 52 52 52 52 52 52 51 52 51 51 51 50 50 49 49 49 49 48 48 48 47 47 48 47 47 47 47 46 46 45 46 45 44 43 43 42 42 42 42 43 41 41 40 40 39 40 39 39 39 40 40 39 37 37 37 39 40 40 39 38 38 38 41 40 40 43 45 45 48 48 52 52 52 53 54 55 55 55 57 57 57 57 57 57 58 59 59 60 59 60 61 60 60 61 61 60 60 60 61 61 60 61 61 61 62 61 62 61 61 60 60 60 61 61 61 60 60 59 59 60 59 59 59 59 59 59 58 57 57 56 57 56 56 56 55 55 54 54 54 52 51 51 51 51 51 50 49 48 47 47 47 46 46 46 46 46 46 46 47 48 49 52 51 53 53 55 53 53 53 53 53 53 52 52 53 53 54 55 55 55 56 59 59 60 61 61 62 63 67 66 66 68 67 70 68 69 69 69 72 72 74 74 73 72 74 74 74 75 76 75 75 75 75 75 76 75 74 74 74 73 71 71 69 68 68 66 66 65 62 61 61 59 59 57 56 56 54 53 52 51 50 49 49 47 45 46 45 44 43 42 40 38 39 37 36 36 35 34 34 33 33 32 33 30 30 29 29 29 27 27 26 25 25 25 24 23 22 22 21 20 20 20 20 20 19 18 18 19 19 19 20 21 23 24 27 28 30 32 32 33 37 37 38 39 39 40 40 40 40 40 40 40 40 42 43 43 45 46 46 49 48 51 52 56 57 57 59 59 59 61 63 62 64 64 64 65 66 68 67 67 69 69 69 70 70 69 69 70 70 69 70 70 69 70 69 70 70 70 71 70 70 69 69 69 69 68 68 67 67 67 66 66 66 66 66 65 65 64 64 64 64 63 63 62 62 61 60 61 60 59 58 58 57 56 55 55 54 53 52 52 51 50 50 50 49 47 47 47 46 45 44 44 44 43 43 42 42 42 41 41 40 40 40 40 40 40 40 38 
38 37 37 37 36 36 36 36 36 36 36 36 37 36 36 36 36 36 36 36 36 36 36 37 37 38 38 40 40 44 45 46 46 47 48 47 49 49 50 50 51 52 53 53 54 53 52 52 52 52 52 52 53 52 52 52 51 51 51 51 50 50 51 50 50 50 48 48 48 48 48 48 48 47 47 46 47 47 46 46 45 46 46 45 44 43 43 41 43 41 41 42 41 41 40 39 38 38 38 39 39 39 39 39 39 37 37 37 37 38 37 39 37 39 40 40 42 46 47 49 48 51 52 53 53 53 55 56 56 56 57 57 57 56 58 57 59 59 59 59 59 59 59 60 60 59 58 59 60 60 60 60 59 61 62 61 62 62 61 61 61 61 60 59 60 60 60 60 60 60 61 61 60 60 59 58 58 60 59 59 57 57 57 57 55 55 54 54 55 52 52 52 52 51 51 51 50 49 49 48 47 47 46 46 46 46 45 45 45 47 47 47 49 50 50 51 53 53 52 52 52 53 53 52 52 53 52 53 53 54 54 55 54 54 58 59 61 62 63 66 65 66 66 67 68 68 68 69 71 70 71 72 72 73 72 73 74 73 75 75 75 74 75 75 74 75 75 75 74 74 73 72 73 71 69 69 69 66 65 63 63 62 61 59 57 58 57 56 52 52 51 52 50 49 47 46 46 46 44 43 43 42 40 39 38 38 36 36 35 34 33 32 32 31 31 29 29 29 28 28 27 27 26 25 25 24 24 22 22 21 22 21 20 20 19 19 19 18 18 18 19 18 20 20 23 25 26 27 29 31 34 33 35 37 38 39 39 38 39 38 38 38 39 42 42 43 42 43 43 46 47 48 50 54 52 55 57 56 58 59 59 64 63 63 64 64 65 65 65 67 67 66 68 70 68 69 69 68 68 70 70 71 71 71 71 70 70 70 70 70 71 70 69 71 70 69 69 68 68 68 68 68 67 67 66 66 66 65 65 65 64 64 64 64 62 62 61 61 60 60 59 58 58 57 57 56 55 54 54 53 52 51 51 50 50 49 48 48 47 46 46 45 43 43 43 43 43 43 42 42 42 41 40 40 40 40 41 39 37 38 
38 38 38 37 37 36 36 35 34 34 34 34 34 34 35 34 34 34 34 34 34 36 36 36 37 39 39 40 40 46 45 45 46 48 47 48 48 49 49 49 50 52 52 53 52 53 53 54 53 52 52 52 52 53 52 51 50 50 51 50 49 51 50 50 50 49 50 49 48 48 48 48 48 47 47 47 47 46 46 45 45 45 45 44 43 43 42 42 43 41 42 41 41 40 40 40 39 39 39 39 38 39 39 38 38 38 38 38 38 39 38 39 40 40 41 42 42 44 43 48 50 48 54 55 54 55 53 56 56 56 56 57 56 57 57 58 59 59 60 59 59 59 60 60 59 59 60 59 60 60 60 60 61 61 61 61 62 62 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 60 60 59 58 58 58 57 56 57 56 56 55 55 54 54 54 53 53 51 52 50 50 50 49 49 47 48 47 46 46 45 45 45 45 45 45 45 45 48 48 49 50 51 51 51 52 51 51 51 50 52 51 51 51 57 55 55 55 55 55 57 56 55 59 64 65 65 65 65 66 67 67 67 68 68 70 70 71 71 72 73 73 74 73 73 74 75 75 74 75 74 74 78 75 75 75 75 74 73 71 71 71 69 66 67 66 65 64 64 62 60 58 57 56 55 53 52 52 51 50 49 47 48 47 45 43 44 42 42 41 37 38 37 37 36 36 34 32 33 32 32 30 30 30 28 28 27 27 26 26 25 25 23 24 23 22 21 21 20 20 20 20 19 19 18 17 18 20 19 21 23 23 24 24 27 30 32 34 35 37 37 39 39 39 38 38 38 38 38 41 41 42 42 43 45 44 45 47 48 48 51 55 55 57 59 59 59 60 62 63 64 64 64 64 66 66 66 67 67 70 69 70 69 69 69 70 70 70 70 70 70 70 70 73 70 71 70 70 70 71 70 69 69 68 68 68 68 68 68 68 67 67 67 66 66 66 66 65 64 64 63 63 62 61 59 60 60 57 58 56 56 57 55 55 54 53 52 52 51 52 51 50 48 49 48 47 46 46 45 45 45 45 43 42 41 42 41 41 41 41 41 41 38 38 38 38 39 
38 37 38 37 36 36 35 35 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 37 39 38 40 41 43 45 46 46 45 47 49 49 49 50 49 51 51 52 52 53 52 52 54 55 53 52 52 51 51 51 51 50 51 49 50 49 49 49 50 50 49 49 48 48 48 50 49 48 48 47 47 46 46 45 44 44 44 44 44 41 41 42 41 42 41 40 39 40 39 39 39 40 40 38 38 38 39 38 38 39 38 38 38 38 38 39 39 40 40 41 40 40 42 50 47 49 54 55 54 54 55 55 56 56 58 57 56 56 58 58 58 59 59 59 59 59 59 59 61 59 60 60 61 60 60 61 60 60 60 60 60 60 61 62 61 61 61 61 61 61 61 62 61 61 61 61 61 60 60 59 59 58 58 57 57 57 57 56 55 56 55 54 55 53 53 51 52 51 51 50 50 50 48 48 48 47 46 46 45 45 45 44 44 45 45 46 46 48 50 51 52 51 51 51 51 51 51 51 51 52 52 52 53 52 54 56 55 56 56 56 60 61 61 63 65 65 66 66 67 69 68 69 70 70 70 72 72 72 73 73 74 73 74 74 74 75 74 74 76 76 76 76 74 74 74 73 73 72 71 70 70 68 66 65 66 63 62 61 60 59 58 57 54 54 53 51 50 50 48 48 48 45 44 44 43 42 40 40 40 37 37 36 35 35 34 33 32 31 31 31 30 28 29 28 26 26 26 26 24 23 24 24 22 22 20 21 20 19 20 19 20 19 19 18 18 20 20 20 22 24 23 25 27 30 31 33 36 37 37 38 39 39 40 39 39 39 40 40 42 42 43 43 44 43 45 48 49 49 51 53 56 57 58 59 61 60 62 63 65 65 65 65 65 66 66 68 68 68 68 69 69 68 69 71 71 70 70 72 71 71 72 71 70 71 70 69 69 70 70 70 70 69 69 69 68 68 67 67 67 67 67 67 67 66 66 66 65 64 63 63 63 61 60 60 59 59 58 57 56 55 55 55 55 52 52 52 51 51 48 48 48 48 47 47 46 46 45 44 43 43 43 43 42 42 42 41 41 39 39 39 38 39 38 39 38 
36 36 36 36 36 36 36 36 35 35 34 34 34 34 34 34 34 34 34 34 33 35 35 36 37 38 38 40 42 43 45 46 46 46 48 48 50 50 49 50 51 51 51 53 53 53 53 53 53 52 52 51 51 51 51 51 51 49 49 49 49 50 48 49 50 49 50 49 48 48 49 49 48 48 47 48 46 46 45 44 44 44 44 43 42 41 41 42 41 40 40 40 39 39 39 40 40 39 39 39 38 38 38 38 38 38 38 39 39 39 39 40 40 40 41 40 43 45 48 46 50 50 54 55 57 56 56 57 57 57 57 57 58 58 59 59 60 60 59 59 59 59 59 59 59 59 59 59 59 62 60 60 59 59 61 60 61 62 62 62 61 60 61 61 62 62 61 61 62 61 61 61 61 60 59 59 59 58 58 57 57 56 55 55 55 54 55 54 53 54 52 52 51 51 50 50 49 49 48 48 47 46 46 45 45 44 44 46 45 46 46 46 48 48 49 50 50 50 50 51 50 51 50 50 50 50 50 53 53 55 57 56 57 58 58 59 59 62 63 65 64 65 65 68 69 67 68 69 68 71 71 71 72 72 73 73 75 74 75 74 75 77 76 75 75 75 75 75 75 74 73 74 73 70 71 71 68 66 65 66 64 62 61 60 59 57 57 55 54 53 51 52 49 50 48 47 45 44 42 41 41 41 40 38 38 37 37 36 35 34 33 32 31 32 30 29 27 28 27 27 26 26 26 25 24 22 22 21 21 21 20 19 19 20 19 20 19 18 17 18 19 20 20 22 22 25 26 27 29 31 34 35 36 37 38 39 39 40 40 40 40 41 41 40 42 42 43 42 45 45 47 50 52 55 55 55 57 59 59 61 60 63 64 64 65 64 64 65 66 66 66 68 68 69 69 70 70 69 69 69 71 71 71 73 72 71 71 71 72 70 70 71 71 70 71 71 69 70 69 69 69 68 68 67 68 67 67 66 65 66 65 65 63 63 62 62 60 60 60 59 57 58 57 56 55 54 54 53 52 52 51 50 50 49 49 48 47 47 46 46 45 45 44 42 43 42 42 41 41 41 41 40 39 39 39 39 38 38 38 37 
37 37 37 36 35 35 35 35 34 33 33 33 33 33 34 33 33 33 33 34 34 34 33 36 37 37 40 39 40 43 44 47 47 47 47 47 46 49 50 50 50 51 52 54 53 53 53 52 52 52 52 51 52 51 51 51 52 50 51 50 51 50 49 50 49 50 49 49 50 49 50 49 49 48 48 47 46 45 44 44 44 43 43 42 42 42 41 41 40 40 39 39 39 38 39 41 40 39 39 39 39 39 38 38 38 38 38 39 39 38 39 39 40 41 41 43 43 45 48 49 53 53 54 55 57 56 57 56 57 57 57 57 58 58 59 59 60 59 59 59 59 58 58 59 58 59 59 58 58 59 59 58 60 60 61 60 61 62 61 63 62 61 61 61 62 61 61 61 61 61 62 61 60 59 59 59 60 59 57 57 57 56 56 56 55 55 54 54 53 52 52 51 51 51 50 50 49 48 48 48 47 47 46 45 45 43 43 44 46 46 46 46 48 48 49 50 50 50 50 52 51 51 51 51 53 52 53 53 52 54 56 56 57 59 58 60 61 62 64 66 65 65 65 67 66 67 67 70 70 71 71 72 71 72 73 74 73 74 75 75 75 76 76 75 76 76 75 75 74 74 74 73 72 72 70 69 68 65 66 65 63 62 61 60 58 56 57 54 53 52 51 50 49 49 47 46 45 44 44 42 41 40 39 39 37 37 37 35 34 33 33 32 31 31 30 30 28 27 27 26 26 25 25 23 23 23 22 21 21 20 20 20 20 19 19 18 18 17 17 18 19 19 19 22 23 23 25 27 29 31 34 35 37 37 38 39 39 38 38 38 42 40 40 42 43 41 42 42 45 47 47 50 50 52 55 54 59 60 59 60 62 63 64 64 66 65 65 66 66 67 68 68 69 69 70 70 69 70 70 70 70 71 70 71 71 71 72 72 71 71 72 71 71 72 71 71 70 69 68 68 68 68 68 68 67 67 66 67 66 66 65 64 64 63 61 63 60 60 59 59 57 57 57 56 54 54 54 51 52 51 51 50 50 49 48 47 47 47 47 46 44 44 44 43 42 41 41 41 41 41 40 40 39 39 38 38 38 38 38 37 
37 37 37 37 36 35 35 35 35 34 33 33 33 33 33 33 33 34 33 34 34 34 35 36 37 38 40 41 41 42 44 45 48 48 49 48 50 49 50 50 52 52 52 54 53 53 52 52 52 51 53 51 51 51 51 51 51 51 50 50 49 49 50 50 51 50 49 49 49 49 48 48 49 49 48 47 46 45 44 45 44 43 43 41 42 42 41 42 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 41 39 39 39 39 41 41 41 40 42 42 42 43 43 47 49 50 52 55 53 56 56 57 57 57 57 59 58 58 58 59 60 59 59 59 60 59 59 59 59 59 59 58 58 60 60 59 59 61 61 61 60 62 61 61 61 61 61 62 61 62 62 61 60 60 60 60 60 59 59 59 58 58 58 57 57 57 56 55 55 54 54 54 53 52 52 52 51 51 51 50 49 49 48 47 47 46 46 46 44 44 44 43 44 46 46 46 47 46 48 49 49 49 49 49 51 50 50 50 50 50 50 50 51 52 54 55 56 57 59 58 58 64 63 63 64 65 65 66 68 68 67 68 71 70 70 71 73 72 72 73 71 71 75 75 75 76 75 77 77 75 76 76 75 75 75 75 72 72 72 70 69 69 67 66 64 64 64 62 60 59 57 57 55 55 54 51 49 49 49 47 47 45 44 43 41 41 40 40 38 39 37 36 35 33 34 33 32 32 30 30 28 28 27 26 26 25 25 25 23 24 22 22 21 20 20 20 19 20 18 19 19 18 17 17 18 20 18 20 21 21 25 25 26 27 34 34 34 36 39 41 39 39 40 39 39 38 38 42 41 41 41 43 45 44 46 49 51 50 54 54 56 57 57 62 62 62 63 65 64 65 66 65 66 66 66 66 68 68 69 70 71 69 69 70 71 71 70 70 71 71 72 71 72 72 71 71 71 71 72 71 70 70 70 68 68 69 68 68 68 68 66 67 68 65 66 65 65 63 63 61 61 60 60 59 58 57 56 56 56 55 55 54 53 52 52 51 51 50 49 48 47 47 47 46 46 45 44 43 43 42 41 41 41 40 40 40 40 40 39 38 38 37 37 37 38 
37 36 36 36 35 35 34 34 34 34 34 34 34 33 33 33 33 34 34 34 34 34 36 37 36 39 39 40 42 43 44 46 46 47 48 48 49 52 49 49 51 53 52 53 52 52 52 53 52 51 52 52 51 52 52 51 51 50 50 50 50 49 50 50 51 50 51 50 50 49 49 48 48 48 47 46 47 45 45 44 44 44 43 42 42 40 40 40 39 39 39 39 38 38 38 39 39 39 39 39 39 39 39 39 39 39 39 40 39 39 40 41 42 42 43 43 43 44 45 45 51 54 53 53 56 56 57 56 56 58 58 59 59 59 59 59 61 60 59 59 59 59 60 61 60 60 60 60 60 61 61 61 61 61 61 61 61 61 62 62 62 62 62 62 62 61 61 61 61 60 60 59 59 58 58 58 57 57 57 57 57 56 55 55 55 54 53 52 52 51 52 51 51 50 50 48 48 48 48 47 46 45 45 45 45 44 44 44 45 45 46 46 47 48 48 49 49 51 49 49 49 49 49 49 49 50 49 50 52 55 54 56 55 59 59 60 62 64 62 63 64 66 66 68 68 68 68 68 69 71 72 73 72 72 73 74 73 75 75 75 76 75 75 76 75 75 76 76 75 74 73 72 72 73 69 69 69 66 66 64 64 63 61 60 60 57 56 55 54 53 51 49 50 47 47 46 46 45 41 41 41 40 39 38 38 35 35 35 35 33 32 32 31 31 29 29 27 28 26 26 25 24 25 23 22 21 21 21 20 20 20 19 19 18 18 18 18 17 16 18 18 18 20 22 22 25 26 28 29 33 33 35 36 38 40 40 40 40 40 40 40 40 40 40 42 44 42 44 45 46 45 51 52 53 55 55 58 60 59 60 63 64 65 65 65 66 66 66 66 66 68 68 68 68 69 69 70 69 71 71 72 71 71 71 71 71 72 71 71 71 71 71 71 71 70 70 69 69 69 69 68 68 68 68 67 66 66 66 65 64 65 63 63 62 62 61 60 59 59 57 57 56 56 55 55 54 52 52 52 52 50 49 50 48 46 47 47 47 45 44 43 42 42 43 42 42 41 41 40 40 40 40 39 39 38 38 37 37 37 37 
35 36 35 34 34 34 33 34 33 33 33 34 33 33 32 32 32 33 32 35 35 36 39 39 37 39 40 41 42 43 45 45 47 48 48 48 49 50 52 50 51 51 51 52 51 52 53 52 52 51 51 51 51 52 51 53 51 51 50 51 50 50 50 50 50 50 50 50 49 49 48 48 48 49 47 46 46 45 45 44 42 43 42 42 41 40 40 39 38 39 39 38 37 38 38 38 38 38 40 39 39 39 40 39 39 39 39 39 39 40 40 41 41 41 42 43 44 44 45 47 53 55 54 55 56 56 56 56 56 56 58 59 59 59 60 61 59 60 59 59 58 59 59 60 61 61 60 60 59 59 60 60 60 61 62 62 62 61 61 63 62 63 62 63 64 62 63 62 60 60 61 60 59 58 59 58 56 57 57 56 57 56 55 55 55 54 54 53 52 51 51 51 50 50 49 50 48 47 47 47 46 46 45 45 44 44 44 43 44 45 46 46 47 48 48 48 48 48 48 48 48 48 48 49 49 49 50 50 50 54 55 57 58 60 59 61 61 63 62 64 63 65 66 67 68 68 68 68 68 72 71 74 74 73 73 73 74 74 74 74 75 75 76 76 74 75 76 76 75 74 74 74 73 71 70 70 69 66 66 65 63 62 60 60 59 58 57 56 54 51 52 50 49 48 47 45 44 45 42 41 40 41 40 38 36 37 35 35 33 33 32 32 30 31 30 28 28 27 26 25 25 25 23 22 22 21 21 20 20 19 19 19 18 18 17 17 17 17 17 18 18 19 20 21 22 25 26 29 30 32 34 35 36 37 38 40 40 41 40 40 41 40 41 41 40 41 42 44 45 47 48 49 50 53 55 56 57 60 59 63 63 64 65 67 66 66 66 67 66 67 68 68 67 68 70 71 70 71 72 72 71 70 70 71 71 72 72 73 72 72 72 72 71 71 69 68 69 69 67 67 67 67 67 67 66 67 66 65 65 64 64 63 62 62 61 60 60 60 58 57 56 56 56 56 54 54 53 52 52 50 50 50 49 48 48 46 46 45 44 45 44 41 41 41 41 41 40 40 40 39 38 38 37 37 37 37 37 37 36 35 
35 34 34 34 35 35 34 34 34 34 33 33 33 34 33 33 33 33 33 33 34 34 36 36 39 39 39 41 43 43 48 44 47 48 47 48 48 47 49 51 51 51 51 52 51 52 51 52 51 51 51 51 51 51 52 52 52 52 51 51 51 50 50 50 50 51 50 50 49 48 49 49 48 48 46 46 46 45 45 43 43 42 42 42 41 40 41 39 39 39 38 37 37 38 38 38 38 38 39 39 40 40 39 40 40 40 39 39 40 39 40 41 40 41 41 42 45 46 45 50 52 53 54 56 55 56 56 58 56 57 57 58 58 58 60 60 60 60 59 59 59 60 61 61 61 61 61 61 61 61 61 61 62 62 60 63 62 63 63 62 63 63 63 63 62 62 62 61 61 60 60 59 59 58 58 57 57 56 56 56 57 57 55 54 54 54 53 52 52 51 51 50 49 49 48 48 47 47 47 46 45 45 45 44 44 43 44 44 44 45 45 46 48 48 49 48 49 49 49 49 49 50 50 49 50 49 49 49 53 54 55 56 56 58 59 59 61 62 63 63 64 65 67 68 67 67 70 70 71 71 72 72 73 73 74 74 74 74 74 76 75 75 75 76 77 76 78 76 76 75 75 73 73 73 70 69 68 66 66 65 62 63 61 61 58 56 56 55 53 51 51 50 49 48 47 47 45 44 43 42 40 40 40 37 37 36 35 35 33 33 32 30 30 31 29 28 27 26 28 26 25 24 24 22 22 22 21 20 20 19 19 19 18 17 17 18 17 16 17 18 19 20 20 20 22 24 25 29 30 31 34 37 36 38 39 39 39 39 39 39 39 39 39 41 42 42 42 44 48 49 51 52 52 52 53 56 58 57 60 62 63 62 65 65 64 69 66 68 68 68 68 68 69 69 70 70 70 70 71 71 73 72 71 73 72 74 74 72 72 71 71 72 70 71 69 69 69 68 68 67 67 67 67 66 66 66 65 65 64 64 63 62 62 61 62 59 59 60 58 57 56 56 55 55 54 53 52 51 50 51 50 48 49 48 47 45 45 44 44 44 43 40 41 40 40 40 40 40 39 39 39 38 38 37 37 37 37 37 36 36 
34 34 34 34 34 34 33 33 34 34 33 33 33 33 33 33 33 33 33 33 33 34 36 36 37 40 39 41 44 44 45 46 47 49 48 49 49 50 49 50 50 50 51 51 51 51 53 51 51 51 51 52 52 52 55 52 52 52 52 51 51 50 51 50 51 51 51 50 49 50 49 49 48 47 47 45 45 46 44 44 44 43 42 42 42 41 40 39 38 38 37 37 37 37 37 38 38 38 39 38 39 38 38 38 38 38 39 38 40 40 41 40 40 40 43 42 45 47 48 48 50 52 55 55 56 56 56 56 56 56 59 59 59 60 60 61 60 59 60 61 59 60 60 61 62 61 62 61 62 62 61 62 61 61 62 63 62 63 63 63 63 63 63 63 62 63 61 62 60 59 61 59 59 58 57 57 56 56 55 55 55 55 55 55 54 53 52 52 51 51 51 50 50 49 48 48 48 47 46 45 45 46 45 43 43 42 43 44 45 46 45 46 46 48 47 48 48 48 48 47 47 48 48 50 51 50 50 50 53 54 56 56 57 57 59 58 60 62 64 63 65 64 66 68 68 68 68 69 70 72 71 73 73 73 74 74 75 75 75 75 74 75 75 75 76 78 76 76 76 76 74 73 73 70 70 70 68 66 66 64 63 62 60 60 59 56 55 56 53 52 50 51 50 47 47 47 44 43 43 42 41 40 38 38 37 35 35 34 33 33 31 29 29 30 29 28 26 27 26 26 24 23 23 22 22 21 21 20 20 20 19 19 18 18 17 17 17 17 17 18 19 19 20 21 22 24 28 28 31 33 36 36 36 37 38 38 38 38 38 37 37 40 39 40 40 41 40 47 48 49 48 51 53 52 58 57 58 60 60 63 64 61 65 66 66 66 68 68 67 68 67 68 68 69 71 69 71 70 70 70 71 72 71 73 72 71 72 72 71 71 71 71 70 70 70 68 68 68 67 66 66 66 66 66 66 65 65 64 64 65 64 62 62 61 60 59 59 59 57 57 56 55 54 54 53 53 52 51 50 49 50 49 47 47 47 45 45 44 44 43 43 42 39 40 40 39 39 39 38 38 38 38 38 36 36 36 36 36 35 35 
34 34 34 34 34 33 33 33 33 33 33 33 32 32 32 32 33 32 32 33 35 34 35 35 37 39 39 42 43 44 46 48 48 49 49 48 49 50 51 49 51 50 52 51 52 52 53 53 52 52 52 52 53 53 53 52 52 52 52 51 51 51 52 51 52 51 52 50 49 50 48 48 48 48 47 46 46 45 45 44 43 43 42 42 41 41 40 39 38 38 37 36 36 38 38 38 39 39 39 39 39 38 38 38 38 38 38 40 39 40 40 42 42 41 46 46 45 44 49 49 51 54 54 56 56 56 57 57 57 57 58 60 61 60 62 60 61 60 60 60 59 62 63 62 62 62 62 62 62 61 61 61 61 61 61 62 61 63 62 62 63 62 63 62 62 61 61 61 61 59 59 58 58 56 57 56 56 55 55 54 55 55 54 54 53 52 52 52 51 51 50 49 49 49 48 46 47 46 46 45 45 45 44 43 43 43 44 43 44 45 45 46 46 48 47 48 48 48 48 50 50 50 50 51 51 51 51 51 52 53 53 56 56 58 58 59 61 61 61 64 64 65 68 68 68 68 71 72 73 71 73 72 72 72 74 75 75 76 76 76 75 75 76 76 77 77 76 76 76 75 74 73 72 70 70 70 69 65 65 64 63 62 61 60 59 56 55 56 54 52 50 50 49 46 47 45 45 43 43 41 41 39 37 37 36 35 35 33 33 31 32 31 30 28 28 28 28 26 26 26 25 23 22 23 22 21 21 21 20 19 19 19 19 18 18 16 16 16 17 18 18 18 19 22 24 24 27 29 30 31 33 36 37 37 37 39 39 40 39 40 40 40 40 41 41 41 42 43 45 50 51 52 52 53 56 56 59 60 60 62 62 63 63 66 65 66 66 68 67 67 68 68 69 69 70 70 70 70 70 71 70 70 71 72 72 71 72 71 72 71 71 71 72 70 69 69 67 68 68 67 66 65 65 64 64 64 63 64 63 64 63 62 61 60 60 60 59 58 57 57 57 56 55 54 53 53 52 51 51 50 49 47 48 47 47 45 44 45 44 43 43 41 40 39 39 39 39 39 39 38 38 37 37 37 36 36 36 36 35 34 
35 34 33 33 33 33 33 33 32 32 32 33 32 32 32 32 33 34 33 34 35 35 39 37 38 38 42 42 44 42 47 48 48 49 48 49 50 50 50 51 50 51 51 52 52 52 53 53 52 53 52 53 52 52 52 53 53 52 52 52 52 52 52 52 52 51 51 51 50 50 50 49 48 48 47 47 46 45 45 44 44 41 42 41 40 40 40 39 38 38 37 36 36 37 37 37 37 39 39 39 39 39 39 39 38 39 39 40 40 41 41 41 42 43 44 44 44 44 44 53 54 54 54 56 57 57 59 60 61 60 60 60 60 61 61 61 61 61 62 62 61 62 62 63 62 63 61 61 63 62 62 62 63 62 65 62 63 63 63 63 63 63 62 62 62 62 62 62 58 59 58 57 57 57 56 55 55 54 54 54 54 54 54 53 53 52 51 52 52 51 49 49 48 48 47 47 46 46 46 43 43 43 46 43 43 42 43 44 44 45 45 46 45 47 48 48 48 50 49 50 49 49 49 49 49 49 51 51 53 53 53 56 55 57 58 60 61 61 62 65 66 67 68 68 68 70 71 71 71 71 72 73 73 74 75 75 74 76 75 75 76 76 76 76 76 76 76 76 75 75 73 73 73 71 71 68 67 68 66 63 62 62 60 59 57 57 55 54 53 52 51 50 48 47 46 45 44 44 42 43 39 40 38 38 36 35 35 33 34 32 31 31 29 29 28 28 27 26 26 25 24 23 22 22 22 21 21 20 20 19 19 19 18 17 16 15 16 16 16 18 18 19 19 22 24 25 26 28 30 31 34 36 35 38 39 40 40 40 39 39 39 39 40 42 41 43 44 45 47 49 50 50 52 53 53 57 58 61 62 64 63 63 64 65 66 65 66 67 67 67 69 70 69 68 69 69 70 70 71 71 70 70 71 72 72 71 72 72 71 71 71 71 70 70 68 67 67 68 65 66 66 65 65 64 64 64 65 64 64 63 62 63 61 61 60 60 58 58 58 57 56 56 55 55 53 54 52 51 50 49 48 47 48 47 46 46 45 44 43 42 41 41 40 40 39 39 38 38 38 37 37 37 36 36 36 35 35 35 35 35 
